#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Darius Alpha (Japan);Darius Alpha (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Darius Plus (Japan);Darius Plus (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Darkwing Duck (USA);Darkwing Duck (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Davis Cup Tennis (USA);Davis Cup Tennis (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Dead Moon (USA);Dead Moon (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Dead Moon - Getsu Sekai no Akumu (Japan);Dead Moon - Getsu Sekai no Akumu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Deep Blue (USA);Deep Blue (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Deep Blue - Kaitei Shinwa (Japan);Deep Blue - Kaitei Shinwa (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Detana!! TwinBee (Japan);Detana!! TwinBee (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Devil Crash - Naxat Pinball (Japan);Devil Crash - Naxat Pinball (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Devil's Crush (USA);Devil's Crush (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Die Hard (Japan);Die Hard (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Digital Champ (Japan);Digital Champ (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Don Doko Don! (Japan);Don Doko Don! (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Doraemon - Meikyuu Daisakusen (Japan);Doraemon - Meikyuu Daisakusen (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Doraemon - Nobita no Dorabian Night (Japan);Doraemon - Nobita no Dorabian Night (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Double Dungeons - W (Japan);Double Dungeons - W (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Double Dungeons - W (USA);Double Dungeons - W (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Download (Japan);Download (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Download (Japan) (Alt 1);Download (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Dragon Egg! (Japan);Dragon Egg! (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
